,Rank,Name,Symbol,Market Cap,Price,Circulating Supply,Volume (24h),% 1h,% 24h,% 7d,Unnamed: 10
0,1,Bitcoin,BTC,"$594,384,025,391","$31,971.91","18,590,818 BTC","$81,163,475,344",1.99%,-2.47%,18.04%,
1,2,Ethereum,ETH,"$118,709,509,272","$1,040.23","114,118,187 ETH","$56,945,985,763",2.51%,6.64%,42.42%,
2,3,Tether,USDT,"$21,811,422,497",$1.00,"21,808,636,250 USDT *","$125,906,387,011",0.02%,-0.04%,0.15%,
3,4,XRP,XRP,"$10,746,094,508",$0.2367,"45,404,028,640 XRP *","$6,141,918,380",1.18%,4.79%,-4.55%,
4,5,Litecoin,LTC,"$10,254,764,750",$154.81,"66,242,118 LTC","$13,659,785,704",1.97%,-3.36%,19.04%,
5,6,Polkadot,DOT,"$8,492,158,903",$9.47,"896,780,104 DOT *","$2,893,262,630",1.78%,-5.62%,43.72%,
6,7,Bitcoin Cash,BCH,"$7,587,978,845",$407.94,"18,600,863 BCH","$8,597,472,426",1.59%,-3.28%,12.66%,
7,8,Cardano,ADA,"$6,992,916,199",$0.2248,"31,112,484,646 ADA","$3,260,699,086",3.58%,9.64%,27.18%,
8,9,Binance Coin,BNB,"$5,910,034,134",$40.93,"144,406,561 BNB *","$807,877,171",1.97%,-0.54%,14.18%,
9,10,Chainlink,LINK,"$5,421,769,475",$13.57,"399,509,556 LINK *","$2,926,793,268",1.94%,-0.58%,7.46%,
10,11,USD Coin,USDC,"$4,278,604,359",$0.9994,"4,281,292,230 USDC *","$2,201,035,267",0.00%,-0.04%,-0.07%,
11,12,Wrapped Bitcoin,WBTC,"$3,696,977,230","$31,950.11","115,711 WBTC *","$328,249,091",2.06%,-3.21%,18.22%,
12,13,Stellar,XLM,"$3,621,839,340",$0.1652,"21,926,609,691 XLM *","$1,650,893,150",-0.22%,21.08%,14.41%,
13,14,Bitcoin SV,BSV,"$3,119,837,347",$167.59,"18,616,089 BSV","$936,306,772",0.87%,-2.22%,-0.54%,
14,15,EOS,EOS,"$2,639,431,729",$2.81,"939,196,428 EOS *","$4,592,899,152",0.82%,0.55%,1.67%,
15,16,Monero,XMR,"$2,378,729,311",$133.60,"17,804,490 XMR","$1,098,283,687",1.33%,-3.23%,-19.75%,
16,17,TRON,TRX,"$2,210,899,235",$0.03085,"71,659,657,369 TRX *","$1,768,802,420",1.43%,4.61%,4.47%,
17,18,THETA,THETA,"$1,960,264,023",$1.96,"1,000,000,000 THETA *","$218,310,002",1.16%,-7.60%,26.60%,
18,19,NEM,XEM,"$1,843,313,599",$0.2048,"8,999,999,999 XEM *","$178,336,251",0.70%,-2.69%,-11.25%,
19,20,Tezos,XTZ,"$1,746,540,593",$2.31,"755,678,559 XTZ *","$376,283,723",0.32%,8.34%,9.04%,
20,21,VeChain,VET,"$1,586,334,769",$0.02466,"64,315,576,989 VET *","$550,104,075",3.37%,-4.85%,22.27%,
21,22,Crypto.com Coin,CRO,"$1,473,600,719",$0.06543,"22,521,461,186 CRO *","$125,552,236",2.23%,9.48%,10.33%,
22,23,Uniswap,UNI,"$1,454,876,040",$5.41,"269,094,310 UNI *","$3,707,353,731",2.81%,-0.74%,45.01%,
23,24,Celsius,CEL,"$1,432,326,188",$6.00,"238,863,520 CEL *","$22,323,042",1.47%,-7.60%,28.21%,
24,25,Aave,AAVE,"$1,339,476,346",$111.13,"12,053,017 AAVE *","$619,262,373",3.43%,21.99%,35.72%,
25,26,UNUS SED LEO,LEO,"$1,347,556,608",$1.35,"999,498,893 LEO *","$19,398,784",-0.01%,-0.35%,-0.41%,
26,27,Dai,DAI,"$1,316,821,874",$1.00,"1,315,201,242 DAI *","$638,960,956",0.03%,-0.02%,-0.22%,
27,28,Synthetix,SNX,"$1,257,815,568",$11.38,"110,519,345 SNX *","$286,413,933",6.34%,20.09%,42.08%,
28,29,Cosmos,ATOM,"$1,249,114,394",$6.00,"208,297,867 ATOM *","$627,610,837",1.88%,3.15%,11.96%,
29,30,Dogecoin,DOGE,"$1,248,286,672",$0.009767,"127,804,028,166 DOGE","$1,372,398,979",1.36%,-0.03%,112.71%,
30,31,Neo,NEO,"$1,148,264,432",$16.28,"70,538,831 NEO *","$819,828,941",2.74%,1.99%,4.30%,
31,32,Binance USD,BUSD,"$1,075,956,789",$0.9998,"1,076,172,024 BUSD *","$3,360,230,127",-0.04%,-0.01%,0.00%,
32,33,Revain,REV,"$990,602,948",$0.01165,"85,061,485,690 REV *","$6,704,195",-0.03%,-0.04%,0.06%,
33,34,IOTA,MIOTA,"$958,152,370",$0.3447,"2,779,530,283 MIOTA *","$60,563,730",2.00%,11.38%,12.81%,
34,35,Huobi Token,HT,"$968,297,108",$4.84,"200,076,194 HT *","$288,254,122",0.68%,-1.23%,15.07%,
35,36,Filecoin,FIL,"$957,107,330",$21.47,"44,584,205 FIL","$312,309,245",2.04%,0.19%,-2.48%,
36,37,Dash,DASH,"$879,483,218",$88.80,"9,904,405 DASH","$729,411,303",0.43%,-0.31%,-17.22%,
37,38,Ethereum Classic,ETC,"$815,913,122",$7.01,"116,313,299 ETC","$1,821,321,887",1.42%,6.98%,18.43%,
38,39,Zilliqa,ZIL,"$760,800,164",$0.07037,"10,811,282,217 ZIL","$229,252,261",1.08%,3.56%,-21.36%,
39,40,FTX Token,FTT,"$708,930,516",$7.51,"94,346,958 FTT *","$40,526,109",2.93%,8.52%,39.19%,
40,41,yearn.finance,YFI,"$702,292,153","$23,434.12","29,969 YFI *","$647,615,112",1.79%,-1.16%,2.80%,
41,42,Maker,MKR,"$680,418,713",$682.63,"996,764 MKR *","$94,378,307",1.57%,0.58%,16.88%,
42,43,Compound,COMP,"$661,291,611",$149.59,"4,420,746 COMP *","$211,489,230",2.39%,2.32%,4.49%,
43,44,SushiSwap,SUSHI,"$640,333,865",$3.56,"179,657,228 SUSHI *","$561,466,318",3.62%,3.58%,36.10%,
44,45,Zcash,ZEC,"$642,507,098",$59.28,"10,839,325 ZEC","$944,505,720",0.61%,0.09%,-14.11%,
45,46,Decred,DCR,"$601,023,454",$48.29,"12,447,229 DCR","$23,303,377",1.95%,0.59%,20.52%,
46,47,Kusama,KSM,"$578,178,176",$68.26,"8,470,098 KSM *","$134,866,599",-0.37%,-5.94%,17.21%,
47,48,Waves,WAVES,"$558,892,733",$5.38,"103,978,150 WAVES *","$121,835,096",1.07%,-2.50%,-19.79%,
48,49,Algorand,ALGO,"$526,536,586",$0.4387,"1,200,313,566 ALGO","$257,108,478",10.32%,3.76%,23.14%,
49,50,Elrond,EGLD,"$508,818,618",$30.63,"16,611,815 EGLD *","$107,701,273",-0.98%,12.79%,20.62%,
50,51,UMA,UMA,"$486,832,285",$8.77,"55,506,671 UMA *","$38,035,131",1.48%,3.16%,10.30%,
51,52,OMG Network,OMG,"$452,830,273",$3.23,"140,245,398 OMG *","$600,097,784",-0.26%,6.16%,21.82%,
52,53,Loopring,LRC,"$446,061,612",$0.3691,"1,208,595,083 LRC *","$485,416,755",-0.64%,35.46%,110.53%,
53,54,OKB,OKB,"$431,187,066",$7.19,"60,000,000 OKB *","$298,814,294",-1.85%,-4.84%,-4.37%,
54,55,renBTC,RENBTC,"$404,191,965","$32,053.78","12,610 RENBTC *","$41,422,178",2.09%,-2.62%,18.55%,
55,56,Ontology,ONT,"$397,516,588",$0.4934,"805,646,909 ONT *","$169,770,624",1.54%,-1.43%,6.36%,
56,57,DigiByte,DGB,"$393,193,068",$0.02827,"13,908,656,541 DGB","$40,174,245",2.48%,-12.99%,11.42%,
57,58,The Graph,GRT,"$383,089,184",$0.3075,"1,245,666,867 GRT *","$183,511,905",1.61%,3.66%,-19.27%,
58,59,Nexo,NEXO,"$352,098,217",$0.6287,"560,000,011 NEXO *","$17,351,388",0.12%,3.09%,5.30%,
59,60,Blockstack,STX,"$349,491,182",$0.491,"711,834,032 STX *","$5,349,514",0.39%,2.15%,26.80%,
60,61,Basic Attention Token,BAT,"$325,297,345",$0.2179,"1,493,080,869 BAT *","$204,575,656",1.20%,0.65%,3.31%,
61,62,Terra,LUNA,"$325,266,066",$0.6702,"485,295,181 LUNA *","$51,922,005",2.47%,1.26%,8.10%,
62,63,BitTorrent,BTT,"$311,944,585",$0.0003151,"989,963,963,539 BTT *","$82,744,607",0.63%,0.57%,5.01%,
63,64,ICON,ICX,"$302,273,274",$0.521,"580,232,365 ICX *","$76,531,889",3.00%,7.48%,16.19%,
64,65,0x,ZRX,"$294,987,338",$0.3934,"749,772,094 ZRX *","$88,627,754",1.22%,0.17%,4.43%,
65,66,Ren,REN,"$297,639,672",$0.3365,"884,532,525 REN *","$89,327,152",2.47%,1.00%,0.44%,
66,67,Reserve Rights,RSR,"$286,691,712",$0.03066,"9,349,999,000 RSR *","$231,849,738",2.10%,-6.13%,55.61%,
67,68,NEAR Protocol,NEAR,"$272,463,181",$1.38,"196,911,019 NEAR *","$37,590,382",0.55%,-6.05%,13.42%,
68,69,Avalanche,AVAX,"$276,222,732",$3.59,"76,937,055 AVAX *","$39,414,734",1.52%,3.38%,21.81%,
69,70,TrueUSD,TUSD,"$274,962,598",$0.9997,"275,031,537 TUSD *","$170,875,334",0.07%,0.01%,-0.04%,
70,71,SwissBorg,CHSB,"$257,844,458",$0.2765,"932,687,845 CHSB *","$4,899,618",1.22%,7.63%,0.54%,
71,72,THORChain,RUNE,"$251,942,744",$1.59,"158,432,088 RUNE *","$41,093,946",4.31%,7.34%,53.41%,
72,73,Qtum,QTUM,"$244,014,117",$2.50,"97,529,236 QTUM *","$484,756,942",1.01%,1.48%,5.17%,
73,74,Paxos Standard,PAX,"$244,563,270",$0.9984,"244,951,954 PAX *","$172,740,768",-0.33%,-0.02%,-0.38%,
74,75,Ampleforth,AMPL,"$232,866,912",$1.08,"214,865,089 AMPL *","$31,030,555",-0.25%,-8.93%,13.60%,
75,76,Energy Web Token,EWT,"$221,805,703",$7.38,"30,062,138 EWT *","$1,622,338",-0.17%,16.84%,15.08%,
76,77,Hedera Hashgraph,HBAR,"$219,110,064",$0.03241,"6,760,905,196 HBAR *","$13,435,510",0.43%,-1.94%,-3.92%,
77,78,Nano,NANO,"$199,234,549",$1.50,"133,248,297 NANO *","$60,359,794",-0.33%,-11.58%,39.39%,
78,79,Siacoin,SC,"$198,966,792",$0.004396,"45,259,792,992 SC","$37,314,148",2.90%,-8.19%,27.60%,
79,80,HUSD,HUSD,"$186,301,574",$0.9995,"186,393,458 HUSD *","$116,435,905",0.01%,0.06%,0.06%,
80,81,Celo,CELO,"$185,560,765",$1.49,"124,447,717 CELO *","$3,568,371",-0.71%,3.40%,1.19%,
81,82,TerraUSD,UST,"$184,652,375",$1.00,"183,980,829 UST *","$17,603,489",0.53%,0.47%,0.54%,
82,83,Augur,REP,"$180,522,987",$16.41,"11,000,000 REP *","$19,776,819",0.09%,-3.09%,3.03%,
83,84,NXM,NXM,"$179,365,476",$30.92,"5,801,350 NXM *","$38,267,898",0.80%,7.83%,26.29%,
84,85,ABBC Coin,ABBC,"$172,410,815",$0.2045,"843,025,189 ABBC","$32,825,605",0.81%,-4.14%,2.43%,
85,86,Ocean Protocol,OCEAN,"$164,686,086",$0.393,"419,026,837 OCEAN *","$56,154,026",1.92%,-0.51%,7.03%,
86,87,Kyber Network,KNC,"$164,653,752",$0.8198,"200,842,421 KNC *","$52,681,896",-0.19%,-1.06%,-3.90%,
87,88,Bitcoin BEP2,BTCB,"$160,592,047","$31,922.80","5,031 BTCB *","$91,390",1.45%,5.20%,18.04%,
88,89,Bitcoin Gold,BTG,"$155,983,027",$8.91,"17,513,924 BTG","$19,038,321",2.49%,-0.13%,2.42%,
89,90,HedgeTrade,HEDG,"$155,713,459",$0.459,"339,231,468 HEDG *","$295,581",4.49%,1.38%,-6.01%,
90,91,Lisk,LSK,"$151,428,892",$1.19,"126,843,971 LSK *","$7,036,564",1.77%,-1.38%,-1.13%,
91,92,Verge,XVG,"$146,226,461",$0.008909,"16,414,049,743 XVG","$9,984,626",2.50%,-6.10%,12.38%,
92,93,Theta Fuel,TFUEL,"$145,283,422",$0.02928,"4,962,631,792 TFUEL *","$11,074,841",1.55%,-8.37%,-1.57%,
93,94,Gnosis,GNO,"$141,687,004",$94.17,"1,504,589 GNO *","$2,194,121",1.70%,12.53%,25.72%,
94,95,Horizen,ZEN,"$142,044,447",$13.38,"10,618,006 ZEN","$20,381,046",4.00%,-0.11%,10.06%,
95,96,MaidSafeCoin,MAID,"$141,797,230",$0.3133,"452,552,412 MAID *","$1,148,611",2.12%,3.13%,-0.11%,
96,97,Band Protocol,BAND,"$137,993,430",$6.73,"20,494,033 BAND *","$142,595,058",1.46%,0.28%,10.82%,
97,98,Quant,QNT,"$136,363,587",$11.30,"12,072,738 QNT *","$2,522,712",5.48%,4.43%,0.64%,
98,99,Bancor,BNT,"$134,791,092",$1.40,"96,150,842 BNT *","$51,633,683",1.72%,0.55%,3.45%,
99,100,Aragon,ANT,"$131,833,274",$3.33,"39,609,523 ANT *","$29,890,657",0.28%,8.79%,11.50%,
100,101,Status,SNT,"$128,875,794",$0.03713,"3,470,483,788 SNT *","$41,582,678",1.11%,6.23%,17.12%,
101,102,Numeraire,NMR,"$124,799,227",$27.95,"4,465,650 NMR *","$17,006,713",2.02%,17.30%,16.63%,
102,103,Holo,HOT,"$123,033,641",$0.0007353,"167,313,361,967 HOT *","$23,844,188",-1.56%,-2.33%,28.10%,
103,104,CyberVein,CVT,"$124,535,022",$0.1174,"1,060,404,496 CVT *","$7,142,697",-0.16%,1.14%,-3.05%,
104,105,ZB Token,ZB,"$124,993,301",$0.2698,"463,288,810 ZB *","$19,097,687",0.67%,-1.11%,4.70%,
105,106,Matic Network,MATIC,"$118,444,471",$0.02461,"4,812,024,448 MATIC *","$44,212,481",1.41%,23.22%,30.42%,
106,107,Decentraland,MANA,"$117,842,598",$0.07942,"1,483,772,748 MANA *","$38,456,062",0.36%,-2.46%,-2.17%,
107,108,Enjin Coin,ENJ,"$116,257,410",$0.1412,"823,130,411 ENJ *","$18,245,669",-0.12%,4.33%,1.59%,
108,109,Solana,SOL,"$115,730,856",$2.49,"46,569,948 SOL *","$59,955,405",2.32%,14.96%,63.96%,
109,110,Balancer,BAL,"$109,070,194",$15.71,"6,943,831 BAL *","$85,054,651",2.02%,1.01%,14.03%,
110,111,Ravencoin,RVN,"$106,790,521",$0.01362,"7,840,405,000 RVN","$11,092,098",0.74%,-2.89%,2.15%,
111,112,Curve DAO Token,CRV,"$105,134,275",$0.677,"155,297,961 CRV *","$95,367,065",4.49%,0.70%,36.00%,
112,113,Chiliz,CHZ,"$102,151,671",$0.01881,"5,429,628,749 CHZ *","$50,362,870",1.09%,-3.68%,-32.19%,
113,114,RSK Infrastructure Framework,RIF,"$96,698,723",$0.1427,"677,726,677 RIF *","$1,207,814",0.67%,-8.34%,-9.98%,
114,115,MonaCoin,MONA,"$91,862,554",$1.40,"65,729,675 MONA","$9,590,607",0.12%,-4.79%,2.66%,
115,116,Syntropy,NOIA,"$92,046,492",$0.2864,"321,395,830 NOIA *","$2,245,967",10.14%,32.21%,25.49%,
116,117,Arweave,AR,"$89,783,564",$2.69,"33,394,701 AR *","$5,047,853",1.20%,4.48%,13.81%,
117,118,Bitcoin Diamond,BCD,"$89,020,908",$0.4773,"186,492,898 BCD","$3,081,358",-0.61%,-5.69%,2.07%,
118,119,Nervos Network,CKB,"$89,037,433",$0.003799,"23,438,109,438 CKB *","$5,183,848",-0.83%,-3.13%,-5.10%,
119,120,IOST,IOST,"$88,612,475",$0.005783,"15,324,121,695 IOST *","$51,023,077",0.65%,1.16%,-1.73%,
120,121,DxChain Token,DX,"$88,520,271",$0.00177,"50,000,000,000 DX *","$424,484",1.83%,-1.70%,43.97%,
121,122,Helium,HNT,"$86,348,904",$1.34,"64,294,751 HNT","$439,386",0.99%,2.62%,-5.88%,
122,123,Orchid,OXT,"$85,890,060",$0.2337,"367,584,352 OXT *","$17,585,097",1.06%,1.08%,-1.96%,
123,124,Kin,KIN,"$85,977,026",$0.00005663,"1,518,114,145,968 KIN *","$602,231",0.10%,0.23%,-11.93%,
124,125,Bytom,BTM,"$84,029,496",$0.06006,"1,399,136,669 BTM","$23,510,636",1.53%,-0.60%,4.86%,
125,126,Unibright,UBT,"$82,149,494",$0.5521,"148,799,999 UBT *","$1,630,178",2.22%,4.04%,8.33%,
126,127,Utrust,UTK,"$79,485,050",$0.1766,"449,981,000 UTK *","$7,733,977",5.19%,20.55%,48.78%,
127,128,PAX Gold,PAXG,"$78,704,088","$1,997.99","39,392 PAXG *","$8,343,112",0.27%,1.87%,4.66%,
128,129,TomoChain,TOMO,"$73,787,053",$0.9642,"76,525,750 TOMO","$22,203,493",2.06%,17.96%,35.34%,
129,130,Kleros,PNK,"$75,137,404",$0.1256,"598,279,012 PNK *","$3,534,881",0.57%,0.34%,5.73%,
130,131,1inch,1INCH,"$74,420,913",$1.03,"72,164,169 1INCH *","$74,099,782",0.74%,-5.76%,-7.10%,
131,132,Golem,GNT,"$73,869,302",$0.1141,"647,534,942 GNT *","$21,966,798",0.77%,6.33%,-2.05%,
132,133,BitShares,BTS,"$71,121,934",$0.02375,"2,994,830,000 BTS *","$17,578,279",0.80%,-2.75%,5.57%,
133,134,Ardor,ARDR,"$70,914,078",$0.07099,"998,999,495 ARDR *","$3,922,218",0.14%,-9.57%,4.23%,
134,135,Kava.io,KAVA,"$71,258,863",$1.52,"46,876,230 KAVA *","$34,759,663",7.47%,11.04%,11.97%,
135,136,Divi,DIVI,"$69,158,969",$0.03324,"2,080,641,203 DIVI","$264,418",1.12%,0.06%,25.24%,
136,137,Komodo,KMD,"$66,962,415",$0.5422,"123,496,934 KMD","$5,343,503",1.14%,12.88%,1.04%,
137,138,KuCoin Shares,KCS,"$66,612,153",$0.8314,"80,118,638 KCS *","$11,297,901",0.84%,17.41%,20.21%,
138,139,iExec RLC,RLC,"$65,779,320",$0.8215,"80,070,793 RLC *","$4,823,886",2.72%,4.19%,2.18%,
