,Rank,Name,Symbol,Market Cap,Price,Circulating Supply,Volume (24h),% 1h,% 24h,% 7d,Unnamed: 10
0,1,Bitcoin,BTC,"$597,205,944,669","$32,127.27","18,588,756 BTC","$67,865,420,765",-0.23%,9.37%,21.52%,
1,2,Ethereum,ETH,"$88,367,612,520",$774.53,"114,091,185 ETH","$19,740,771,179",0.25%,6.05%,21.81%,
2,3,Tether,USDT,"$21,218,363,937",$1.00,"21,205,636,250 USDT *","$87,333,964,442",0.00%,-0.13%,0.21%,
3,4,XRP,XRP,"$10,064,026,551",$0.2217,"45,404,028,640 XRP *","$4,773,658,725",-0.16%,-6.65%,-24.79%,
4,5,Litecoin,LTC,"$9,069,424,356",$136.94,"66,226,818 LTC","$10,532,067,985",0.23%,8.49%,5.78%,
5,6,Polkadot,DOT,"$8,254,057,307",$9.21,"896,319,230 DOT *","$3,049,232,407",-0.13%,10.86%,77.70%,
6,7,Bitcoin Cash,BCH,"$6,595,864,638",$354.60,"18,600,863 BCH","$4,608,719,269",0.27%,3.69%,9.84%,
7,8,Cardano,ADA,"$5,520,054,873",$0.1774,"31,112,484,646 ADA","$1,408,849,504",-0.25%,1.18%,12.42%,
8,9,Binance Coin,BNB,"$5,522,336,922",$38.24,"144,406,561 BNB *","$521,965,394",0.22%,0.89%,14.23%,
9,10,Chainlink,LINK,"$4,882,061,693",$12.22,"399,509,556 LINK *","$1,562,557,417",1.68%,2.93%,11.45%,
10,11,USD Coin,USDC,"$4,104,611,883",$1.00,"4,103,947,168 USDC *","$1,679,209,330",0.03%,0.03%,0.04%,
11,12,Wrapped Bitcoin,WBTC,"$3,721,819,349","$32,164.80","115,711 WBTC *","$146,756,920",-0.05%,9.59%,21.79%,
12,13,Bitcoin SV,BSV,"$3,035,794,927",$163.09,"18,614,302 BSV","$439,843,249",0.35%,-0.02%,-0.64%,
13,14,Stellar,XLM,"$2,801,127,005",$0.1278,"21,914,610,074 XLM *","$463,295,709",-0.52%,-3.46%,-13.08%,
14,15,Monero,XMR,"$2,547,876,470",$143.12,"17,802,725 XMR","$1,794,461,266",0.61%,5.20%,-14.78%,
