,Rank,Name,Symbol,Market Cap,Price,Circulating Supply,Volume (24h),% 1h,% 24h,% 7d,Unnamed: 10
15,16,EOS,EOS,"$2,466,583,923",$2.63,"939,140,946 EOS *","$2,647,911,577",0.50%,-0.34%,0.77%,
16,17,THETA,THETA,"$2,400,356,533",$2.40,"1,000,000,000 THETA *","$324,942,397",0.27%,21.75%,44.50%,
17,18,TRON,TRX,"$1,950,520,170",$0.02722,"71,659,657,369 TRX *","$980,910,324",0.23%,1.04%,-1.87%,
18,19,NEM,XEM,"$1,828,854,355",$0.2032,"8,999,999,999 XEM *","$111,874,688",-0.13%,-8.61%,-14.09%,
19,20,Tezos,XTZ,"$1,509,943,743",$2.00,"755,465,464 XTZ *","$233,029,593",0.17%,-0.51%,1.12%,
20,21,Celsius,CEL,"$1,432,990,421",$6.00,"238,863,520 CEL *","$18,752,209",1.23%,9.70%,57.15%,
21,22,Crypto.com Coin,CRO,"$1,390,208,930",$0.06182,"22,488,584,474 CRO *","$101,498,916",-0.59%,3.75%,4.38%,
22,23,UNUS SED LEO,LEO,"$1,355,910,652",$1.36,"999,498,893 LEO *","$10,160,156",-0.04%,0.01%,-0.31%,
23,24,Dogecoin,DOGE,"$1,356,280,740",$0.01061,"127,776,140,858 DOGE","$3,421,562,680",-5.13%,86.71%,136.21%,
24,25,Uniswap,UNI,"$1,303,181,237",$4.85,"268,962,583 UNI *","$1,418,519,092",-0.55%,2.30%,42.22%,
25,26,VeChain,VET,"$1,285,334,118",$0.01998,"64,315,576,989 VET *","$278,974,618",-0.28%,4.74%,21.61%,
26,27,Dai,DAI,"$1,181,921,789",$1.00,"1,180,833,411 DAI *","$588,836,476",0.04%,-0.35%,-0.10%,
27,28,Binance USD,BUSD,"$1,147,504,315",$0.9998,"1,147,733,862 BUSD *","$2,058,671,355",-0.02%,-0.03%,0.02%,
28,29,Cosmos,ATOM,"$1,127,305,816",$5.41,"208,196,914 ATOM *","$599,846,982",-0.52%,-7.74%,13.07%,
29,30,Aave,AAVE,"$1,032,020,483",$85.71,"12,040,442 AAVE *","$221,843,920",0.33%,-5.13%,14.48%,
30,31,Neo,NEO,"$1,018,388,814",$14.44,"70,538,831 NEO *","$420,582,504",0.07%,-0.44%,-3.45%,
31,32,Revain,REV,"$991,974,955",$0.01166,"85,061,485,690 REV *","$7,363,458",0.03%,-0.13%,0.37%,
32,33,Filecoin,FIL,"$972,332,103",$21.81,"44,584,205 FIL","$243,646,888",0.62%,-2.16%,-7.45%,
33,34,Huobi Token,HT,"$970,298,592",$4.85,"200,076,194 HT *","$322,654,456",0.38%,-6.59%,21.53%,
34,35,Synthetix,SNX,"$904,383,604",$8.18,"110,519,345 SNX *","$109,181,697",0.61%,-2.11%,1.92%,
35,36,Dash,DASH,"$861,108,661",$86.97,"9,901,241 DASH","$850,378,682",-0.57%,-1.44%,-19.23%,
36,37,IOTA,MIOTA,"$795,556,070",$0.2862,"2,779,530,283 MIOTA *","$25,174,949",-0.46%,-1.76%,0.25%,
37,38,Zilliqa,ZIL,"$785,544,667",$0.0727,"10,804,695,659 ZIL","$201,193,294",-2.02%,-8.06%,-15.44%,
38,39,Ethereum Classic,ETC,"$672,577,545",$5.78,"116,313,299 ETC","$715,306,867",0.10%,1.37%,-0.75%,
39,40,yearn.finance,YFI,"$644,474,996","$21,504.97","29,969 YFI *","$317,638,846",-0.90%,-1.81%,-4.55%,
40,41,Zcash,ZEC,"$625,743,236",$57.80,"10,825,088 ZEC","$591,481,165",-0.01%,1.78%,-12.58%,
41,42,Maker,MKR,"$607,505,655",$609.31,"997,043 MKR *","$61,864,848",-0.05%,4.65%,13.54%,
42,43,Compound,COMP,"$603,952,197",$136.71,"4,417,712 COMP *","$138,001,532",-1.22%,-5.97%,5.22%,
43,44,Kusama,KSM,"$583,963,229",$68.94,"8,470,098 KSM *","$108,961,169",-1.20%,-0.80%,44.16%,
44,45,FTX Token,FTT,"$584,943,998",$6.20,"94,346,958 FTT *","$23,398,220",0.10%,6.51%,22.33%,
45,46,Waves,WAVES,"$578,990,651",$5.57,"103,960,822 WAVES *","$131,176,695",0.51%,-7.21%,-12.15%,
46,47,SushiSwap,SUSHI,"$572,952,606",$3.20,"179,272,036 SUSHI *","$368,692,971",1.99%,-4.06%,34.43%,
47,48,Decred,DCR,"$565,961,323",$45.50,"12,439,485 DCR","$18,945,809",-2.10%,10.68%,22.95%,
48,49,OKB,OKB,"$500,121,776",$8.34,"60,000,000 OKB *","$388,967,454",-0.48%,-9.50%,37.19%,
49,50,Algorand,ALGO,"$488,214,116",$0.4081,"1,196,336,458 ALGO","$417,148,719",1.30%,2.50%,31.93%,
50,51,UMA,UMA,"$458,517,869",$8.26,"55,506,671 UMA *","$16,321,309",-0.44%,4.22%,5.59%,
51,52,renBTC,RENBTC,"$427,462,301","$32,157.13","13,293 RENBTC *","$31,676,467",-0.02%,9.56%,21.62%,
52,53,The Graph,GRT,"$407,670,898",$0.3273,"1,245,666,867 GRT *","$121,106,081",-1.26%,-9.90%,-32.01%,
53,54,DigiByte,DGB,"$391,645,187",$0.02817,"13,902,355,089 DGB","$35,416,574",2.12%,6.08%,8.62%,
54,55,Elrond,EGLD,"$380,607,852",$25.89,"14,700,218 EGLD *","$44,075,762",-0.82%,-0.67%,12.05%,
55,56,Ontology,ONT,"$373,704,446",$0.4645,"804,535,798 ONT *","$145,843,054",-0.02%,3.43%,2.44%,
56,57,Nexo,NEXO,"$363,246,889",$0.6487,"560,000,011 NEXO *","$14,068,372",1.70%,11.60%,4.77%,
57,58,OMG Network,OMG,"$350,541,938",$2.50,"140,245,398 OMG *","$226,311,855",0.76%,-0.08%,-1.19%,
58,59,BitTorrent,BTT,"$334,205,338",$0.0003376,"989,978,048,780 BTT *","$96,927,722",-1.78%,14.81%,12.72%,
59,60,Blockstack,STX,"$324,724,003",$0.4562,"711,834,032 STX *","$5,731,346",-1.18%,6.00%,43.46%,
60,61,Terra,LUNA,"$306,503,896",$0.6314,"485,415,100 LUNA *","$19,299,747",0.53%,-2.77%,16.84%,
61,62,Basic Attention Token,BAT,"$304,510,641",$0.204,"1,492,580,869 BAT *","$146,201,509",-0.07%,-0.54%,-4.40%,
62,63,NEAR Protocol,NEAR,"$277,582,620",$1.41,"196,911,019 NEAR *","$14,795,813",0.65%,3.86%,37.98%,
63,64,Ren,REN,"$276,146,441",$0.3122,"884,532,525 REN *","$49,656,175",1.66%,-1.52%,21.22%,
64,65,TrueUSD,TUSD,"$275,120,293",$1.00,"275,031,537 TUSD *","$155,637,304",0.06%,0.03%,0.22%,
65,66,Reserve Rights,RSR,"$271,234,943",$0.02901,"9,349,999,000 RSR *","$255,988,806",-1.58%,14.55%,68.76%,
66,67,0x,ZRX,"$270,197,335",$0.3604,"749,772,094 ZRX *","$65,734,548",-0.20%,-3.89%,1.73%,
67,68,Avalanche,AVAX,"$268,890,418",$3.49,"76,937,055 AVAX *","$50,081,958",-1.76%,-4.64%,19.76%,
68,69,ICON,ICX,"$251,092,468",$0.4332,"579,672,423 ICX *","$39,152,371",-0.26%,-3.65%,4.22%,
69,70,Paxos Standard,PAX,"$245,159,447",$1.00,"244,951,954 PAX *","$150,954,764",-0.19%,-0.20%,-0.15%,
70,71,Siacoin,SC,"$206,273,028",$0.004558,"45,251,782,992 SC","$110,251,612",0.66%,34.56%,39.46%,
71,72,SwissBorg,CHSB,"$224,735,271",$0.241,"932,687,845 CHSB *","$6,709,960",-2.88%,-5.69%,-19.56%,
72,73,Hedera Hashgraph,HBAR,"$224,738,993",$0.03324,"6,760,906,792 HBAR *","$9,287,951",-1.06%,0.96%,2.59%,
73,74,Qtum,QTUM,"$219,674,849",$2.25,"97,523,812 QTUM *","$343,893,619",-0.27%,-0.87%,-0.49%,
74,75,Ampleforth,AMPL,"$217,289,502",$1.02,"213,623,916 AMPL *","$29,196,286",1.64%,3.51%,10.92%,
75,76,Loopring,LRC,"$210,680,128",$0.1752,"1,202,508,121 LRC *","$18,851,722",-0.09%,-0.32%,15.52%,
76,77,THORChain,RUNE,"$204,909,569",$1.29,"158,432,088 RUNE *","$25,042,165",-0.80%,-0.05%,48.00%,
77,78,Energy Web Token,EWT,"$191,757,595",$6.38,"30,062,138 EWT *","$885,946",0.13%,-0.99%,-5.24%,
78,79,Theta Fuel,TFUEL,"$186,043,756",$0.03749,"4,962,631,792 TFUEL *","$25,859,628",0.81%,11.93%,5.72%,
79,80,ABBC Coin,ABBC,"$186,506,507",$0.2213,"842,862,416 ABBC","$36,722,884",-1.41%,-8.35%,-1.21%,
80,81,TerraUSD,UST,"$181,961,261",$0.9996,"182,035,047 UST *","$5,756,221",-0.41%,-0.22%,0.17%,
81,82,Augur,REP,"$182,275,035",$16.57,"11,000,000 REP *","$17,944,435",0.62%,1.30%,6.59%,
82,83,Celo,CELO,"$178,418,009",$1.43,"124,447,717 CELO *","$5,387,330",1.77%,-1.81%,2.63%,
83,84,HUSD,HUSD,"$170,217,619",$0.9986,"170,448,789 HUSD *","$104,533,706",-0.01%,-0.11%,0.02%,
84,85,Kyber Network,KNC,"$158,092,537",$0.7871,"200,842,421 KNC *","$31,142,566",-0.56%,-1.37%,-0.97%,
85,86,HedgeTrade,HEDG,"$156,359,396",$0.4609,"339,231,468 HEDG *","$270,703",-0.87%,-2.63%,-9.01%,
86,87,NXM,NXM,"$150,418,666",$25.93,"5,801,350 NXM *","$12,570,268",0.69%,-0.77%,37.43%,
87,88,Bitcoin Gold,BTG,"$148,935,457",$8.50,"17,513,924 BTG","$11,861,095",-0.36%,0.07%,-1.86%,
88,89,Lisk,LSK,"$147,139,458",$1.16,"126,826,696 LSK *","$5,989,423",0.26%,-0.06%,-3.86%,
89,90,Quant,QNT,"$144,242,862",$11.95,"12,072,738 QNT *","$3,567,192",-0.14%,8.27%,3.09%,
90,91,Nano,NANO,"$139,808,780",$1.05,"133,248,297 NANO *","$7,897,599",0.75%,1.80%,1.83%,
91,92,Ocean Protocol,OCEAN,"$138,548,595",$0.3306,"419,026,837 OCEAN *","$22,988,116",-0.07%,-5.00%,1.81%,
92,93,MaidSafeCoin,MAID,"$137,655,490",$0.3042,"452,552,412 MAID *","$709,132",0.99%,-6.21%,-13.14%,
93,94,Holo,HOT,"$134,129,980",$0.000802,"167,249,427,985 HOT *","$33,116,679",1.49%,25.25%,33.12%,
94,95,Band Protocol,BAND,"$123,579,914",$6.03,"20,494,033 BAND *","$88,258,248",3.20%,9.47%,15.06%,
95,96,CyberVein,CVT,"$125,695,447",$0.1185,"1,060,404,496 CVT *","$6,047,559",1.20%,-0.85%,0.76%,
96,97,ZB Token,ZB,"$124,301,715",$0.2683,"463,288,810 ZB *","$14,130,879",0.77%,1.78%,4.57%,
97,98,Horizen,ZEN,"$124,536,194",$11.74,"10,611,019 ZEN","$14,189,945",1.19%,-0.46%,-1.34%,
98,99,Bancor,BNT,"$123,257,693",$1.28,"96,341,684 BNT *","$26,080,111",-0.57%,-0.81%,0.38%,
99,100,Aragon,ANT,"$122,807,420",$3.10,"39,609,523 ANT *","$16,354,317",0.64%,-3.83%,8.38%,
100,101,Verge,XVG,"$121,491,339",$0.007402,"16,413,016,543 XVG","$4,699,620",-0.18%,1.00%,5.09%,
101,102,Decentraland,MANA,"$118,036,600",$0.07955,"1,483,773,348 MANA *","$16,686,545",1.03%,-5.00%,0.66%,
102,103,RSK Infrastructure Framework,RIF,"$109,786,119",$0.162,"677,726,677 RIF *","$1,635,247",-0.10%,2.99%,7.84%,
103,104,Enjin Coin,ENJ,"$108,678,327",$0.132,"823,130,411 ENJ *","$11,785,685",0.80%,-2.93%,-6.23%,
104,105,Gnosis,GNO,"$107,618,606",$71.53,"1,504,589 GNO *","$508,198",-0.97%,-1.63%,7.25%,
105,106,Status,SNT,"$107,262,662",$0.03091,"3,470,483,788 SNT *","$9,014,109",-0.21%,-1.24%,0.23%,
106,107,Chiliz,CHZ,"$105,338,983",$0.0194,"5,429,628,749 CHZ *","$60,064,866",0.23%,-7.19%,-8.48%,
107,108,Balancer,BAL,"$101,404,370",$14.60,"6,943,831 BAL *","$44,582,502",0.37%,4.81%,20.15%,
108,109,Ravencoin,RVN,"$102,218,631",$0.01306,"7,826,210,000 RVN","$13,967,919",-1.88%,0.67%,-3.90%,
109,110,Numeraire,NMR,"$100,802,125",$22.57,"4,465,650 NMR *","$7,807,764",-0.48%,-1.64%,-3.94%,
110,111,Curve DAO Token,CRV,"$95,380,248",$0.6142,"155,297,961 CRV *","$60,722,245",1.11%,-1.31%,30.75%,
111,112,Nervos Network,CKB,"$92,432,349",$0.003948,"23,413,923,486 CKB *","$4,352,073",-0.37%,-2.17%,-0.80%,
112,113,Matic Network,MATIC,"$91,635,684",$0.01904,"4,812,024,448 MATIC *","$17,374,970",-0.47%,6.91%,-1.30%,
113,114,Bitcoin Diamond,BCD,"$89,725,001",$0.4811,"186,492,898 BCD","$10,159,343",-0.85%,2.25%,0.86%,
114,115,Arweave,AR,"$89,104,678",$2.67,"33,394,701 AR *","$2,838,332",-2.33%,1.97%,15.52%,
115,116,MonaCoin,MONA,"$88,983,125",$1.35,"65,729,675 MONA","$3,333,746",0.26%,-0.03%,-3.61%,
116,117,IOST,IOST,"$86,179,411",$0.005624,"15,324,121,695 IOST *","$30,951,407",0.15%,-3.07%,-3.24%,
117,118,Orchid,OXT,"$85,455,284",$0.2325,"367,584,352 OXT *","$9,908,451",0.12%,0.79%,0.57%,
118,119,DxChain Token,DX,"$85,343,580",$0.001707,"50,000,000,000 DX *","$105,564",-0.64%,1.29%,17.30%,
119,120,Kin,KIN,"$85,166,409",$0.0000561,"1,518,114,145,968 KIN *","$255,656",-2.43%,-10.51%,-15.36%,
120,121,Solana,SOL,"$83,792,134",$1.80,"46,569,948 SOL *","$31,671,064",-0.19%,-2.32%,35.87%,
121,122,Helium,HNT,"$82,600,204",$1.29,"64,005,850 HNT","$847,258",-0.36%,-4.88%,-10.63%,
122,123,Bytom,BTM,"$80,055,875",$0.05724,"1,398,655,694 BTM","$16,768,691",-0.20%,4.84%,4.46%,
123,124,Ardor,ARDR,"$77,804,629",$0.07788,"998,999,495 ARDR *","$9,718,426",0.31%,-6.04%,18.39%,
124,125,PAX Gold,PAXG,"$77,226,469","$1,960.47","39,392 PAXG *","$5,913,206",-0.03%,1.67%,2.55%,
125,126,1inch,1INCH,"$74,222,736",$1.03,"72,164,169 1INCH *","$57,325,197",-1.05%,-10.98%,-35.59%,
126,127,Divi,DIVI,"$70,867,521",$0.0341,"2,077,995,586 DIVI","$307,005",-1.92%,3.38%,29.94%,
127,128,Golem,GNT,"$69,610,532",$0.1073,"648,977,855 GNT *","$1,191,299",0.15%,-3.41%,3.54%,
128,129,BitShares,BTS,"$68,485,797",$0.02287,"2,994,830,000 BTS *","$10,501,183",-0.38%,6.14%,-0.80%,
129,130,Unibright,UBT,"$67,908,675",$0.4564,"148,799,999 UBT *","$1,854,364",1.78%,-0.69%,-0.05%,
130,131,Kleros,PNK,"$67,214,864",$0.1123,"598,279,012 PNK *","$1,420,864",0.44%,2.15%,2.68%,
131,132,Steem,STEEM,"$65,535,277",$0.1659,"395,076,101 STEEM *","$6,072,754",-1.49%,2.48%,2.68%,
132,133,Storj,STORJ,"$63,487,309",$0.2938,"216,098,645 STORJ *","$10,885,817",0.01%,-0.84%,0.02%,
133,134,Velas,VLX,"$63,258,360",$0.03003,"2,106,296,362 VLX *","$900,368",-0.11%,5.67%,30.56%,
134,135,Swipe,SXP,"$62,647,237",$0.7464,"83,936,975 SXP *","$25,672,468",1.83%,4.13%,8.09%,
135,136,Syntropy,NOIA,"$62,072,298",$0.1931,"321,395,830 NOIA *","$1,017,100",3.04%,5.77%,-13.00%,
136,137,Oasis Network,ROSE,"$61,297,701",$0.04087,"1,500,000,000 ROSE *","$3,489,036",-1.07%,-3.12%,-7.59%,
137,138,Kava.io,KAVA,"$60,689,537",$1.29,"46,876,230 KAVA *","$15,410,979",0.21%,-0.83%,-0.62%,
138,139,Komodo,KMD,"$58,836,534",$0.4766,"123,457,186 KMD","$2,196,512",-1.21%,-2.88%,-7.66%,
139,140,aelf,ELF,"$58,175,091",$0.1068,"544,480,200 ELF *","$14,897,438",-1.47%,-0.33%,5.01%,
140,141,Civic,CVC,"$57,361,285",$0.08561,"670,000,000 CVC *","$11,643,594",2.04%,-0.34%,-4.01%,
141,142,iExec RLC,RLC,"$57,094,648",$0.7131,"80,070,793 RLC *","$3,188,553",-0.27%,-4.91%,-7.74%,
142,143,DFI.Money,YFII,"$56,947,908","$1,475.49","38,596 YFII *","$76,566,173",-0.46%,-6.90%,10.00%,
143,144,Ankr,ANKR,"$56,170,184",$0.008647,"6,496,232,711 ANKR *","$6,972,040",0.20%,-3.95%,1.53%,
144,145,TomoChain,TOMO,"$53,673,007",$0.7016,"76,505,725 TOMO","$8,513,403",0.69%,3.72%,1.56%,
145,146,KuCoin Shares,KCS,"$54,595,686",$0.6814,"80,118,638 KCS *","$5,757,214",-0.18%,-1.00%,-2.35%,
146,147,Utrust,UTK,"$53,955,797",$0.1199,"449,981,000 UTK *","$2,638,817",-0.97%,-2.12%,6.47%,
147,148,Injective Protocol,INJ,"$53,983,639",$3.60,"15,000,178 INJ *","$17,014,977",1.23%,-11.56%,-15.40%,
148,149,WAX,WAXP,"$53,861,650",$0.03661,"1,471,171,784 WAXP *","$588,994",-0.27%,0.41%,3.08%,
149,150,JUST,JST,"$53,387,277",$0.02362,"2,260,326,706 JST *","$56,507,358",0.02%,3.32%,3.25%,
150,151,Serum,SRM,"$52,862,161",$1.06,"50,000,000 SRM *","$43,769,177",0.48%,-6.65%,7.52%,
151,152,LBRY Credits,LBC,"$51,940,086",$0.1005,"516,838,478 LBC","$19,040,367",5.59%,-15.73%,95.24%,
152,153,Uquid Coin,UQC,"$51,075,655",$5.11,"10,000,000 UQC *","$7,421,732",1.24%,12.66%,108.69%,
153,154,Wanchain,WAN,"$51,068,979",$0.3021,"169,028,581 WAN *","$2,823,861",0.02%,-4.41%,-6.66%,
154,155,Everipedia,IQ,"$53,441,537",$0.005371,"9,950,714,759 IQ *","$9,581,166",4.01%,-17.40%,107.48%,
155,156,Polymath,POLY,"$50,714,848",$0.09127,"555,670,901 POLY *","$6,579,001",-0.03%,-8.14%,17.30%,
156,157,OriginTrail,TRAC,"$47,590,726",$0.14,"339,837,976 TRAC *","$404,711",0.36%,-8.96%,-18.73%,
157,158,Ark,ARK,"$47,964,250",$0.38,"126,205,459 ARK *","$2,087,016",-0.35%,-2.83%,3.90%,
158,159,Hive,HIVE,"$48,823,182",$0.1165,"418,996,309 HIVE *","$1,590,463",-0.05%,-1.28%,3.02%,
159,160,The Midas Touch Gold,TMTG,"$47,119,514",$0.005718,"8,241,111,256 TMTG *","$2,799,223",-0.26%,-8.41%,-21.79%,
160,161,Energi,NRG,"$46,720,097",$1.29,"36,343,901 NRG","$2,992,640",-1.67%,-1.09%,-17.16%,
161,162,Electroneum,ETN,"$45,476,006",$0.004448,"10,222,948,438 ETN","$482,175",-0.81%,-3.16%,-13.68%,
162,163,Stratis,STRAX,"$44,745,109",$0.4471,"100,074,480 STRAX *","$1,405,873",0.34%,-6.61%,-7.47%,
163,164,Haven Protocol,XHV,"$43,709,199",$3.07,"14,252,259 XHV *","$856,822",-1.48%,10.03%,0.85%,
164,165,Keep3rV1,KP3R,"$43,340,355",$216.70,"200,001 KP3R *","$7,756,400",-0.12%,-4.44%,-33.02%,
165,166,ReddCoin,RDD,"$37,167,806",$0.00129,"28,808,713,174 RDD *","$330,658",-13.31%,8.12%,20.67%,
166,167,TrustSwap,SWAP,"$43,090,415",$0.6097,"70,678,219 SWAP *","$1,534,822",-0.28%,2.14%,34.64%,
167,168,Nexalt,XLT,"$42,505,691",$2.14,"19,872,458 XLT *","$685,760",-1.03%,6.21%,16.01%,
168,169,SingularityNET,AGI,"$42,022,082",$0.04926,"853,144,672 AGI *","$787,420",-0.71%,-0.58%,7.65%,
169,170,Pundi X,NPXS,"$41,812,853",$0.0001782,"234,624,488,396 NPXS *","$4,025,887",-1.30%,-0.16%,-2.47%,
170,171,Fantom,FTM,"$41,950,127",$0.01648,"2,545,006,273 FTM *","$4,987,636",0.34%,-4.32%,-0.70%,
171,172,ShareToken,SHR,"$42,834,168",$0.02088,"2,050,977,162 SHR *","$1,984,320",0.59%,1.59%,5.15%,
172,173,Alpha Finance Lab,ALPHA,"$40,986,721",$0.2354,"174,136,442 ALPHA *","$35,834,369",-1.31%,8.18%,41.42%,
173,174,Power Ledger,POWR,"$40,594,771",$0.09574,"423,992,467 POWR *","$1,936,126",0.18%,-4.01%,-0.12%,
174,175,QuarkChain,QKC,"$35,905,641",$0.00561,"6,399,906,497 QKC *","$4,768,134",1.06%,1.13%,8.68%,
175,176,Syscoin,SYS,"$39,711,670",$0.06578,"603,742,029 SYS","$2,313,046",-1.06%,5.28%,20.64%,
176,177,AdEx Network,ADX,"$39,193,413",$0.3469,"112,971,135 ADX *","$1,526,592",-0.70%,-4.42%,18.53%,
177,178,STASIS EURO,EURS,"$38,915,576",$1.22,"31,979,207 EURS *","$1,626,115",-0.15%,-0.89%,1.32%,
178,179,Fetch.ai,FET,"$38,239,175",$0.05125,"746,113,681 FET *","$3,542,274",-0.34%,-4.15%,2.21%,
179,180,IoTeX,IOTX,"$38,091,393",$0.006643,"5,734,304,441 IOTX *","$4,287,150",0.38%,0.13%,-2.13%,
180,181,GateToken,GT,"$37,405,474",$0.5104,"73,292,387 GT *","$41,199,002",-0.52%,-1.33%,15.66%,
181,182,MCO,MCO,"$37,083,125",$2.35,"15,793,831 MCO *","$18,920,420",-0.74%,-10.82%,-17.50%,
182,183,Melon,MLN,"$37,212,657",$25.19,"1,477,204 MLN *","$3,271,911",-2.36%,-3.93%,-9.73%,
183,184,Handshake,HNS,"$37,095,815",$0.1073,"345,642,939 HNS *","$841,525",-0.50%,4.09%,9.31%,
184,185,Nimiq,NIM,"$36,731,539",$0.005174,"7,098,782,772 NIM","$2,165,152",0.64%,12.87%,109.67%,
185,186,FunFair,FUN,"$36,302,185",$0.005543,"6,548,879,189 FUN *","$11,407,122",3.28%,-23.04%,43.11%,
186,187,Travala.com,AVA,"$35,412,260",$0.7613,"46,512,597 AVA *","$3,445,183",0.65%,-4.17%,-1.37%,
187,188,Harmony,ONE,"$34,929,555",$0.004242,"8,234,250,415 ONE *","$6,445,636",-0.57%,0.01%,-10.80%,
188,189,Firo,XZC,"$34,359,919",$3.02,"11,385,393 XZC","$3,989,053",0.66%,-1.29%,-9.55%,
189,190,SOLVE,SOLVE,"$34,189,376",$0.09101,"375,664,079 SOLVE *","$103,554",-0.67%,-0.98%,-2.58%,
190,191,Voyager Token,VGX,"$33,994,950",$0.1529,"222,295,208 VGX *","$19,539",2.43%,-7.61%,4.78%,
191,192,IRISnet,IRIS,"$34,011,071",$0.03624,"938,431,148 IRIS *","$1,988,399",-1.47%,-7.51%,2.78%,
192,193,LTO Network,LTO,"$34,239,342",$0.126,"271,739,758 LTO *","$4,528,538",0.80%,-3.53%,18.98%,
193,194,DIA,DIA,"$33,222,615",$1.18,"28,271,916 DIA *","$10,377,970",0.20%,-3.61%,3.01%,
194,195,Ultra,UOS,"$32,299,445",$0.1143,"282,510,439 UOS *","$1,075,235",4.54%,-8.77%,-13.95%,
195,196,Bytecoin,BCN,"$32,446,647",$0.0001763,"184,066,828,814 BCN","$93,301",3.22%,7.49%,23.55%,
196,197,Loom Network,LOOM,"$31,486,923",$0.03244,"970,520,754 LOOM *","$8,009,819",2.13%,5.27%,22.55%,
197,198,Aion,AION,"$31,082,147",$0.06376,"487,496,874 AION","$2,623,255",-0.02%,-7.06%,-5.60%,
198,199,MVL,MVL,"$30,037,131",$0.002825,"10,631,888,857 MVL *","$2,300,714",2.59%,-4.27%,7.14%,
199,200,Super Zero Protocol,SERO,"$30,546,489",$0.101,"302,448,776 SERO *","$3,394,213",0.49%,-2.99%,-2.17%,
